folder,techno_modifiee,gwp_constr,f_H2_STORAGE,f_METHANOL_STORAGE,f_TRAIN_PUB,f_TRAMWAY_TROLLEY,f_BUS_COACH_HYDIESEL,f_BUS_COACH_DIESEL,f_BUS_COACH_FC_HYBRIDH2,f_BUS_COACH_CNG_STOICH
43_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.0314999999999999,,693.167661,16.682077,8.522063,6.141016,1.71003,1.621528,0.891003
44_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.0321,,693.063372,17.334547,8.69687,9.833358,1.089254,1.153886,0.938394
45_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.0327,,693.255615,17.656014,8.593518,6.307009,2.023835,1.120818,1.204468
46_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.0333,,692.883323,17.48181,8.498019,6.596158,1.46889,0.727957,0.991902
47_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.0339,,691.81756,16.529145,9.013474,6.905211,2.896868,1.110948,0.981081
48_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.0345,,693.257752,16.560828,8.391021,6.402698,2.225223,2.360547,0.952788
49_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.0351,,693.265576,18.78119,8.425267,6.419168,1.874271,0.546785,1.026063
50_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.0357,,692.985235,18.149377,8.438643,6.167538,1.54386,1.395349,0.795339
51_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.0363,,692.519081,17.68505,8.639825,6.503544,1.564474,1.666665,0.902297
52_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.0369,,692.677798,20.896908,9.42717,6.656271,2.483662,0.510104,0.805868
53_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.0375,,693.316565,16.611833,8.485362,6.198424,1.744808,1.139326,1.030829
54_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.0381,,692.884035,16.607995,8.559699,6.203052,1.103555,2.176988,1.042642
55_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.0387,,692.883866,17.53625,8.485721,6.327171,1.290733,1.09363,1.069712
56_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.0393,,693.24508,17.93039,9.702984,6.224832,1.75646,2.025838,0.838035
57_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.0399,,693.241519,17.24648,8.803178,6.503639,1.030241,0.757284,0.977081
58_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.0405,,693.002448,17.841704,8.539458,6.401404,2.74149,1.291288,0.971715
59_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.0411,,692.795009,17.189727,9.23834,6.239318,0.948192,0.952966,1.02756
60_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.0417,,693.027189,17.349017,9.145225,6.139807,2.237394,0.75018,1.069243
