folder,techno_modifiee,gwp_constr,f_TS_DHN_SEASONAL,f_TRAIN_PUB,f_TRAMWAY_TROLLEY,f_BUS_COACH_HYDIESEL,f_BUS_COACH_DIESEL,f_BUS_COACH_FC_HYBRIDH2,f_BUS_COACH_CNG_STOICH
110_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,1.9840000000000009,639.742306,18.377677,12.520334,8.90065,2.053665,0.994807,0.827122
111_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,1.9940000000000009,638.845707,18.396531,12.345092,8.959064,2.193266,0.471207,0.810409
112_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.004000000000001,624.020741,17.335785,9.995513,6.3685,0.910906,2.515029,0.934784
113_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.0140000000000007,621.668854,18.216627,10.450976,8.663061,1.128512,0.860696,0.822184
114_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.0240000000000005,594.380841,17.16463,9.533246,7.319122,0.975407,0.523319,0.944109
115_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.0340000000000003,590.740221,17.880523,9.507893,8.891266,1.717579,0.780158,0.887139
116_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.044,587.66516,17.585067,9.636494,6.984237,1.161891,0.881863,0.913613
117_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.054,587.605088,17.924534,9.825288,8.818668,1.711504,1.922136,0.916085
118_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.064,586.047356,18.820693,10.007725,8.114848,1.494502,0.576978,0.84037
119_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.0739999999999994,576.127257,17.899597,8.762637,7.127279,1.347271,0.751353,0.902434
120_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.083999999999999,570.59089,17.575096,8.401143,8.097517,0.968505,0.889464,0.783305
121_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.093999999999999,562.472607,18.388889,10.785498,8.167402,1.155736,1.09097,0.830866
122_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.1039999999999988,552.647201,18.491918,10.256034,6.800482,1.246197,1.603086,0.893719
123_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.1139999999999985,542.394361,19.968372,12.288278,8.654266,1.015169,2.30855,0.809956
124_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.1239999999999983,540.850444,17.869265,10.226602,8.028162,1.284543,1.549364,0.929772
125_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.133999999999998,531.58753,18.415531,9.664236,6.170522,1.073915,0.803142,0.864923
126_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.143999999999998,531.441855,17.884858,9.238232,8.028366,0.946222,1.1688,0.847501
127_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.1539999999999977,529.617511,17.335574,9.014204,7.627169,1.072102,16.32266,0.760468
128_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.163999999999997,528.45411,19.709423,11.572687,9.003691,0.838744,0.468926,0.905024
129_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.1739999999999973,528.287552,20.689642,9.48517,8.364073,0.77326,1.345324,0.934057
130_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.183999999999997,527.391183,16.57877,8.117738,6.620161,1.012726,0.753619,0.99836
131_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.193999999999997,527.787104,18.082896,8.513451,6.721985,1.077006,1.609742,0.838059
132_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.2039999999999966,528.216611,17.821242,12.16182,9.204792,1.43645,0.772335,0.922211
133_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.2139999999999964,527.285769,16.814334,8.444881,6.735579,1.148769,0.77059,0.989852
134_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.223999999999996,526.417692,17.691052,10.529808,7.606417,1.274069,1.063401,0.919552
135_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.233999999999996,522.594035,21.193962,9.246402,8.356973,0.685307,0.989229,0.944403
136_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.243999999999996,521.315737,16.874893,9.046439,6.757642,1.576476,1.234891,0.924789
137_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.253999999999996,521.519237,20.306064,8.672217,6.956429,0.917749,0.552215,0.933217
138_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.263999999999996,521.292091,18.131909,8.760971,6.726648,1.21439,0.862629,0.99329
139_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.273999999999995,520.83569,19.521334,8.711576,6.810707,0.899078,0.591911,0.989591
140_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.283999999999995,520.019867,18.03016,10.366086,11.913982,2.974376,2.105955,0.897213
141_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.2939999999999947,519.06978,17.503706,8.546911,6.311754,1.475753,0.706047,0.958888
142_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.3039999999999945,519.196352,17.649936,10.213125,8.059425,0.992618,1.220052,0.894322
143_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.3139999999999943,519.12613,16.731525,9.157775,8.630454,1.111623,1.175822,0.790671
144_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.323999999999994,518.389223,17.401691,10.748284,7.906963,0.982397,0.765269,0.861116
145_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.333999999999994,515.686732,18.825619,12.45164,7.955618,0.793906,0.481168,0.732342
146_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.3439999999999936,515.140428,18.069208,11.323035,8.717306,2.002652,1.21283,0.861501
147_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.353999999999993,515.110133,16.834577,8.576631,6.599141,1.344897,1.05817,1.018415
148_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.363999999999993,515.02307,17.841882,9.420571,8.170019,1.002664,0.851936,0.836671
149_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.373999999999993,514.993659,16.53711,9.067784,6.202712,1.277438,0.959919,0.914365
150_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.383999999999993,515.010712,19.559475,10.597851,7.965152,1.307546,0.918604,0.59641
151_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.3939999999999926,512.684179,17.048396,8.807567,7.425186,1.069523,0.700907,0.929903
152_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.4039999999999924,512.550756,18.01664,9.762874,7.922602,1.489669,0.709241,0.64788
153_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.413999999999992,508.719725,18.410192,11.082723,8.40802,1.099714,0.999568,0.821012
154_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.423999999999992,508.559968,18.852666,10.046798,8.309626,1.281465,0.60501,0.731797
155_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.433999999999992,508.550972,19.133849,11.095247,7.823616,2.828545,1.741662,0.820329
156_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.4439999999999915,508.627074,16.678997,8.658483,7.575589,0.885882,0.680377,1.066314
157_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.4539999999999917,498.944931,20.540885,12.365543,7.846528,1.728213,1.737553,0.652693
158_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.463999999999991,495.928573,17.092992,8.820842,6.434797,0.820894,0.502722,0.935242
159_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.473999999999991,489.727117,18.239611,11.038575,8.677604,1.691613,1.260222,0.894939
160_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.4839999999999907,489.716503,20.251421,11.253699,9.89753,3.848678,1.695669,0.948323
161_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.4939999999999904,488.175407,18.837299,10.180198,8.088299,0.768966,0.806489,0.89448
162_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.5039999999999902,487.612654,16.793512,9.515731,8.962835,1.61613,1.337857,0.815442
163_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.51399999999999,487.659385,21.201032,13.88726,8.464657,2.212284,1.358498,0.881435
164_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.52399999999999,480.439225,16.841677,8.324506,6.466956,2.244893,1.269363,0.940124
165_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.5339999999999896,480.027024,18.344427,12.28095,8.951603,2.123348,1.611749,0.897194
166_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.5439999999999894,480.184255,17.652016,8.967408,8.161818,1.019839,0.51777,0.739875
167_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.553999999999989,478.457813,17.511981,20.507164,7.991166,1.660609,4.170255,1.070449
168_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.563999999999989,475.51652,17.064957,8.666201,7.411747,1.059629,0.504829,0.955749
169_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.5739999999999887,472.189173,16.823794,8.852171,6.884012,2.045079,0.682054,0.756798
170_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.5839999999999885,472.16847,16.573172,8.699317,7.395739,1.213787,0.834012,0.790603
171_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.5939999999999883,471.892085,21.450577,14.797261,9.757806,3.155579,0.808619,0.79619
172_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.603999999999988,460.676287,18.065542,8.487224,7.463046,0.946441,0.8931,0.802346
173_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.613999999999988,460.890071,16.806806,9.094076,8.3186,1.33388,0.924059,0.99743
174_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.623999999999988,460.724698,20.19783,9.532598,7.719682,1.654884,1.052608,0.899785
175_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.6339999999999875,459.344931,16.592945,8.704233,7.50848,1.150827,0.816924,1.001615
176_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.6439999999999872,458.332061,17.42141,10.411715,7.051506,1.393048,1.197166,0.794963
177_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.653999999999987,458.541438,17.131348,9.923343,6.380039,0.871941,0.728459,1.018483
178_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.663999999999987,457.53926,20.529974,11.486159,8.709122,1.452247,0.54077,0.652543
179_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.6739999999999866,454.00012,18.502828,12.365523,7.037047,1.310039,0.911874,0.897081
180_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.6839999999999864,450.005492,20.69416,10.863385,10.745198,1.88389,3.592337,0.799629
181_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.693999999999986,439.158691,16.549083,10.320998,11.020938,0.714654,2.226695,0.724318
182_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.703999999999986,439.472162,17.014142,9.595287,8.904565,1.404449,0.932957,0.890986
183_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.7139999999999858,439.453001,16.6307,8.64884,7.702931,0.953515,0.964696,1.169903
184_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.723999999999985,432.84605,16.682243,9.016744,6.24275,1.01643,0.484816,0.98527
185_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.7339999999999853,429.879181,18.447423,9.268165,7.070253,2.019407,1.432805,0.79908
186_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.743999999999985,429.462303,18.239235,10.321971,8.418261,1.073874,1.196485,0.902099
187_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.753999999999985,429.386341,17.351699,9.568558,8.477255,1.120558,1.691267,0.754898
188_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.7639999999999847,429.369579,17.104446,9.285123,6.760053,0.871353,0.440165,0.879575
189_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.7739999999999845,429.37486,17.741079,10.182021,7.963664,2.242904,1.851704,0.600577
190_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.7839999999999843,429.339445,16.856751,10.666316,10.523607,2.9935,1.122777,0.944168
191_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.793999999999984,419.973888,16.677512,8.479876,7.67209,2.938275,0.985923,1.032252
192_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.803999999999984,418.898059,17.932325,10.418514,8.665824,2.297384,0.882896,0.813041
193_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.813999999999984,413.497115,17.407729,15.083999,8.486828,1.199808,2.421043,1.03982
