folder;techno_modifiee;gwp_constr;f_H2_STORAGE;f_METHANOL_STORAGE;f_TRUCK_ELEC;f_BOAT_FREIGHT_DIESEL;f_TRUCK_FUEL_CELL;f_TRUCK_DIESEL;f_TRAIN_FREIGHT;f_BOAT_FREIGHT_METHANOL;f_TRUCK_METHANOL;f_TRUCK_NG;f_BOAT_FREIGHT_NG
39_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.0290999999999999;;692.839738;51.510185;34.469775;46.998151;27.830311;7.730421;7.892476;6.586099;12.580074;1.323644
40_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.0296999999999999;;692.914507;51.543923;32.387535;22.81838;18.085226;7.73042;1.856775;4.689548;12.782456;1.661397
41_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.0302999999999999;;692.886426;51.51594;32.809255;29.561501;2.994319;7.730421;1.683761;0.542389;14.655872;1.635974
42_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.0308999999999999;;692.920038;53.054152;36.841419;17.318118;4.955624;7.730421;8.089618;1.964236;16.414296;1.432526
43_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.0314999999999999;;693.167661;51.510096;39.356473;28.536555;7.308504;7.730421;5.372161;0.564261;1.148497;1.290967
44_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.0321;;693.063372;51.480698;28.445242;11.631621;3.915176;7.730421;4.925055;0.985499;6.327619;1.265677
45_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.0327;;693.255615;51.493007;28.872761;19.147044;0.356622;7.730421;3.494291;0.182374;0.287642;1.548708
46_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.0333;;692.883323;52.233554;34.55166;0.545908;2.511674;7.73042;4.506349;0.134077;0.075989;1.820343
47_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.0339;;691.81756;51.488142;28.49118;36.740763;3.349748;7.730423;1.347468;0.493746;4.354855;1.74235
48_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.0345;;693.257752;52.139615;35.398276;5.098875;4.888878;7.730421;5.657553;10.873394;1.27362;1.805306
49_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.0351;;693.265576;51.482126;32.40966;20.099834;17.187065;7.730421;5.236642;2.625737;3.507398;1.811732
50_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.0357;;692.985235;51.501738;35.349944;30.791487;24.258245;7.730421;10.868825;5.898751;3.120551;1.07494
51_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.0363;;692.519081;51.926957;30.159317;10.591499;0.308593;7.73042;13.288706;4.362976;0.705939;1.929565
52_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.0369;;692.677798;53.173022;39.435625;5.513868;32.405311;7.73042;2.677955;5.61917;0.891141;1.216967
53_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.0375;;693.316565;51.802121;32.080824;0.604389;3.880826;7.730421;1.978964;0.391836;0.188143;1.71426
54_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.0381;;692.884035;51.704793;34.089571;17.833446;14.45771;7.730421;2.265239;1.720547;0.470526;1.315447
55_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.0387;;692.883866;52.72073;28.639332;12.507203;1.942357;7.730421;2.19449;1.921679;1.263783;1.938509
56_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.0393;;693.24508;51.476164;40.277376;1.985843;0.976818;7.730421;1.33939;0.103119;13.37835;4.360043
57_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.0399;;693.241519;60.104998;28.758439;9.441643;0.742115;7.730421;1.754344;7.766087;0.386929;2.184011
58_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.0405;;693.002448;51.479148;28.520222;16.563482;1.746755;7.730421;20.577283;15.029225;3.665886;1.26105
59_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.0411;;692.795009;52.722729;28.912127;1.99958;18.421113;7.73042;30.637427;0.326808;0.141594;2.116971
60_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.0417;;693.027189;52.349409;28.732975;1.237912;0.134219;7.730421;2.354867;0.304849;4.446837;2.250904
61_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.0423;;692.869815;57.01344;38.860665;20.111092;3.668396;7.730421;5.919948;0.681039;5.549389;1.603251
