folder,techno_modifiee,gwp_constr,f_TS_DHN_SEASONAL,f_OIL_TO_HVC,f_METHANE_TO_METHANOL,f_METHANOL_TO_HVC,f_GAS_TO_HVC,f_HABER_BOSCH,f_PYROLYSIS_TO_FUELS,f_SYN_METHANOLATION,f_PYROLYSIS_TO_LFO,f_AMMONIA_TO_H2,f_BIOMASS_TO_HVC,f_BIOMASS_TO_METHANOL
145_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.333999999999994,515.686732,17.905362,11.253182,10.491298,9.414622,9.748092,7.390322,7.469426,7.303609,6.671011,5.435757,4.793371
146_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.3439999999999936,515.140428,23.93918,14.393518,12.3616,12.229541,12.146966,9.817357,9.408764,9.085101,8.365781,7.043223,5.838164
147_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.353999999999993,515.110133,27.762939,15.894365,13.605183,12.987965,13.098051,11.699887,11.276709,10.832057,9.681587,8.87755,7.269305
148_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.363999999999993,515.02307,25.776805,15.049067,12.888572,12.518715,12.41385,10.431026,9.829195,9.292162,8.649405,7.423389,5.996361
149_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.373999999999993,514.993659,26.747014,15.549112,13.266624,12.647942,12.865048,11.049997,10.486179,10.029489,9.224768,8.073297,6.648948
150_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.383999999999993,515.010712,17.151664,10.711756,10.194566,9.016022,9.123352,6.967711,7.005585,6.712631,6.143319,4.94203,4.215006
151_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.3939999999999926,512.684179,31.394176,18.4388,14.614051,15.807002,14.931979,12.719701,11.758119,11.069958,10.535611,8.877858,7.109227
152_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.4039999999999924,512.550756,19.993244,12.128177,11.060807,10.488289,9.973466,8.112338,7.765361,7.287708,6.973393,5.673437,4.668231
153_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.413999999999992,508.719725,25.507381,15.451256,12.78633,13.309927,12.935518,10.347621,9.906805,9.505246,8.856503,7.288383,6.041184
154_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.423999999999992,508.559968,22.584719,13.573943,11.859172,11.788849,11.20449,9.150158,8.651071,8.189112,7.766352,6.384869,5.226252
155_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.433999999999992,508.550972,25.22571,15.480627,12.636091,13.380661,13.170303,10.204335,9.764367,9.420611,8.63454,7.050464,5.866228
