folder,techno_modifiee,technology,f,gwp_constr
27_CAS_Techno_H2_STORAGE_gwp36,H2_STORAGE,AMMONIA_STORAGE,0.222018,35.9
28_CAS_Techno_H2_STORAGE_gwp37,H2_STORAGE,AMMONIA_STORAGE,1.466764,36.9
29_CAS_Techno_H2_STORAGE_gwp38,H2_STORAGE,AMMONIA_STORAGE,3.201478,37.9
0_CAS_Techno_H2_STORAGE_gwp10,H2_STORAGE,BATT_LI,65.601954,9.9
1_CAS_Techno_H2_STORAGE_gwp11,H2_STORAGE,BATT_LI,65.555081,10.9
2_CAS_Techno_H2_STORAGE_gwp12,H2_STORAGE,BATT_LI,65.369713,11.9
3_CAS_Techno_H2_STORAGE_gwp13,H2_STORAGE,BATT_LI,65.34998,12.9
4_CAS_Techno_H2_STORAGE_gwp14,H2_STORAGE,BATT_LI,64.967494,13.9
5_CAS_Techno_H2_STORAGE_gwp14,H2_STORAGE,BATT_LI,64.967494,13.9
6_CAS_Techno_H2_STORAGE_gwp15,H2_STORAGE,BATT_LI,64.967859,14.9
7_CAS_Techno_H2_STORAGE_gwp16,H2_STORAGE,BATT_LI,64.838552,15.9
8_CAS_Techno_H2_STORAGE_gwp17,H2_STORAGE,BATT_LI,64.838465,16.9
9_CAS_Techno_H2_STORAGE_gwp18,H2_STORAGE,BATT_LI,64.781094,17.9
10_CAS_Techno_H2_STORAGE_gwp19,H2_STORAGE,BATT_LI,64.781084,18.9
11_CAS_Techno_H2_STORAGE_gwp20,H2_STORAGE,BATT_LI,64.777099,19.9
12_CAS_Techno_H2_STORAGE_gwp21,H2_STORAGE,BATT_LI,64.779189,20.9
13_CAS_Techno_H2_STORAGE_gwp22,H2_STORAGE,BATT_LI,64.777684,21.9
14_CAS_Techno_H2_STORAGE_gwp23,H2_STORAGE,BATT_LI,64.776656,22.9
15_CAS_Techno_H2_STORAGE_gwp24,H2_STORAGE,BATT_LI,64.777763,23.9
16_CAS_Techno_H2_STORAGE_gwp25,H2_STORAGE,BATT_LI,64.777482,24.9
17_CAS_Techno_H2_STORAGE_gwp26,H2_STORAGE,BATT_LI,64.776142,25.9
18_CAS_Techno_H2_STORAGE_gwp27,H2_STORAGE,BATT_LI,64.777888,26.9
19_CAS_Techno_H2_STORAGE_gwp28,H2_STORAGE,BATT_LI,64.776986,27.9
20_CAS_Techno_H2_STORAGE_gwp29,H2_STORAGE,BATT_LI,64.732608,28.9
21_CAS_Techno_H2_STORAGE_gwp30,H2_STORAGE,BATT_LI,64.501398,29.9
22_CAS_Techno_H2_STORAGE_gwp31,H2_STORAGE,BATT_LI,64.353084,30.9
23_CAS_Techno_H2_STORAGE_gwp32,H2_STORAGE,BATT_LI,64.346268,31.9
24_CAS_Techno_H2_STORAGE_gwp33,H2_STORAGE,BATT_LI,64.226085,32.9
25_CAS_Techno_H2_STORAGE_gwp34,H2_STORAGE,BATT_LI,64.226435,33.9
26_CAS_Techno_H2_STORAGE_gwp35,H2_STORAGE,BATT_LI,64.179102,34.9
27_CAS_Techno_H2_STORAGE_gwp36,H2_STORAGE,BATT_LI,64.179822,35.9
28_CAS_Techno_H2_STORAGE_gwp37,H2_STORAGE,BATT_LI,64.17919,36.9
29_CAS_Techno_H2_STORAGE_gwp38,H2_STORAGE,BATT_LI,64.17804,37.9
0_CAS_Techno_H2_STORAGE_gwp10,H2_STORAGE,BEV_BATT,1.1e-05,9.9
1_CAS_Techno_H2_STORAGE_gwp11,H2_STORAGE,BEV_BATT,4.1e-05,10.9
2_CAS_Techno_H2_STORAGE_gwp12,H2_STORAGE,BEV_BATT,7e-06,11.9
3_CAS_Techno_H2_STORAGE_gwp13,H2_STORAGE,BEV_BATT,4e-06,12.9
4_CAS_Techno_H2_STORAGE_gwp14,H2_STORAGE,BEV_BATT,2.9e-05,13.9
5_CAS_Techno_H2_STORAGE_gwp14,H2_STORAGE,BEV_BATT,2.9e-05,13.9
6_CAS_Techno_H2_STORAGE_gwp15,H2_STORAGE,BEV_BATT,3.6e-05,14.9
7_CAS_Techno_H2_STORAGE_gwp16,H2_STORAGE,BEV_BATT,1.5e-05,15.9
8_CAS_Techno_H2_STORAGE_gwp17,H2_STORAGE,BEV_BATT,7e-06,16.9
