folder,techno_modifiee,gwp_constr,f_BATT_LI,f_BEV_BATT,f_BIOFUELS,f_GAS_STORAGE,f_H2_STORAGE,f_PHEV_BATT,f_TS,f_TS_DEC_DIRECT_ELEC,f_TS_DEC_HP_ELEC,f_TS_DHN_DAILY,f_TS_HIGH_TEMP,f_OIL_TO_HVC,f_METHANE_TO_METHANOL,f_METHANOL_TO_HVC,f_HABER_BOSCH,f_GAS_TO_HVC,f_PYROLYSIS_TO_FUELS,f_SYN_METHANOLATION,f_PYROLYSIS_TO_LFO,f_AMMONIA_TO_H2,f_BIOMASS_TO_HVC,f_BIOMASS_TO_METHANOL
Techno_PHEV_BATT_gwp0,PHEV_BATT,0.0,,,,,,46.910316,,,,,,0.000545,4.402447,4.892224,0.000278,0.00029,0.00022,2.698239,0.000206,0.000197,0.000152,0.000134
Techno_PHEV_BATT_gwp1,PHEV_BATT,1.0,,,,,,0.00868,,,,,,30.474494,17.181061,14.422073,14.679004,14.486586,12.331434,11.809974,11.498881,10.414304,9.411773,7.738493
Techno_PHEV_BATT_gwp6,PHEV_BATT,6.0,,,,,,5.5e-05,,,,,,29.30708,17.452848,14.155092,14.124384,14.739558,12.022288,11.488756,10.97939,10.19189,8.993714,7.46701
Techno_PHEV_BATT_gwp11,PHEV_BATT,11.0,,,,,,2.6e-05,,,,,,22.126092,13.462981,11.736062,11.225129,11.329395,9.036191,8.929346,8.609885,7.913123,6.741275,5.709154
Techno_PHEV_BATT_gwp16,PHEV_BATT,16.0,,,,,,1.9e-05,,,,,,28.86328,17.321091,13.877049,14.242035,14.431384,11.73631,11.281266,10.793114,9.929583,8.669632,7.152852
Techno_PHEV_BATT_gwp21,PHEV_BATT,21.0,,,,,,6e-06,,,,,,28.048021,16.926656,13.582651,14.088322,14.311255,11.379424,10.952775,10.584598,9.91281,8.354191,7.027488
Techno_PHEV_BATT_gwp26,PHEV_BATT,26.0,,,,,,1.9e-05,,,,,,28.617784,16.553207,13.802153,13.75174,13.567618,11.615847,11.327361,10.916892,9.858195,9.042795,7.497711
Techno_PHEV_BATT_gwp31,PHEV_BATT,31.0,,,,,,4e-06,,,,,,27.724461,16.461461,13.661811,13.617223,13.236449,11.515494,11.261372,10.923525,9.943454,8.962951,7.534139
Techno_PHEV_BATT_gwp36,PHEV_BATT,36.0,,,,,,5e-06,,,,,,22.499183,13.654969,11.874915,11.33223,11.202954,9.20672,9.072181,8.710718,7.966591,6.901888,5.837762
Techno_PHEV_BATT_gwp41,PHEV_BATT,41.0,,,,,,2.6e-05,,,,,,28.928626,16.618072,13.88615,13.570348,13.86109,11.672248,11.216508,10.677175,9.742198,8.83653,7.166384
