folder,techno_modifiee,gwp_constr,f_TS_DHN_SEASONAL,f_DEC_HP_ELEC,f_DHN_HP_ELEC,f_DEC_DIRECT_ELEC,f_DEC_BOILER_WOOD,f_DHN_BOILER_GAS,f_DEC_BOILER_GAS,f_DEC_BOILER_OIL,f_DHN_BOILER_OIL,f_DHN_BOILER_WOOD,f_DEC_SOLAR,f_DHN_COGEN_WOOD,f_DEC_THHP_GAS,f_DHN_COGEN_GAS,f_DHN_SOLAR,f_DHN_COGEN_WASTE,f_DEC_COGEN_GAS,f_DEC_COGEN_OIL,f_DHN_COGEN_BIO_HYDROLYSIS,f_DHN_COGEN_WET_BIOMASS,f_DEC_ADVCOGEN_H2,f_DEC_ADVCOGEN_GAS,f_DHN_DEEP_GEO
277_Techno_TS_DHN_SEASONAL_gwp4,TS_DHN_SEASONAL,3.6539999999999657,132.907354,18.74114,7.852524,0.000538,4.8e-05,4.8e-05,4.7e-05,4.6e-05,4.5e-05,2.1e-05,1.4e-05,6e-06,3e-06,3e-06,2e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.0
278_Techno_TS_DHN_SEASONAL_gwp4,TS_DHN_SEASONAL,3.6639999999999655,132.157175,18.741329,7.852567,0.00046,4.4e-05,4.5e-05,3.7e-05,3.7e-05,4.1e-05,1.8e-05,1.3e-05,5e-06,2e-06,3e-06,2e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.0
279_Techno_TS_DHN_SEASONAL_gwp4,TS_DHN_SEASONAL,3.673999999999965,132.150599,18.741141,7.852486,0.000201,1.8e-05,1.6e-05,1.6e-05,1.6e-05,1.6e-05,7e-06,5e-06,2e-06,1e-06,1e-06,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
280_Techno_TS_DHN_SEASONAL_gwp4,TS_DHN_SEASONAL,3.683999999999965,129.126903,18.741141,7.855045,0.00038,3.4e-05,3.4e-05,3.3e-05,3.2e-05,3.2e-05,1.4e-05,9e-06,4e-06,2e-06,2e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.0,0.0
281_Techno_TS_DHN_SEASONAL_gwp4,TS_DHN_SEASONAL,3.693999999999965,119.2221,18.750612,7.87267,0.000237,2.1e-05,2e-05,1.9e-05,1.9e-05,1.9e-05,8e-06,6e-06,2e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.0,0.0,0.0,0.0,0.0
282_Techno_TS_DHN_SEASONAL_gwp4,TS_DHN_SEASONAL,3.7039999999999647,118.087052,18.754005,7.873683,0.000332,3.2e-05,3.3e-05,2.6e-05,2.6e-05,3e-05,1.3e-05,1e-05,4e-06,2e-06,2e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.0,0.0
283_Techno_TS_DHN_SEASONAL_gwp4,TS_DHN_SEASONAL,3.713999999999965,116.165456,18.759549,7.876062,0.000382,3.5e-05,3.2e-05,2.9e-05,3e-05,3.1e-05,1.3e-05,1e-05,4e-06,2e-06,2e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.0,0.0
284_Techno_TS_DHN_SEASONAL_gwp4,TS_DHN_SEASONAL,3.723999999999964,115.526224,18.75843,7.876501,0.000337,3.1e-05,3e-05,2.9e-05,2.9e-05,2.8e-05,1.3e-05,9e-06,4e-06,2e-06,2e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.0,0.0
285_Techno_TS_DHN_SEASONAL_gwp4,TS_DHN_SEASONAL,3.733999999999964,115.010872,18.762137,7.872867,0.000212,1.9e-05,2e-05,2e-05,1.9e-05,1.8e-05,9e-06,7e-06,3e-06,2e-06,2e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.0,0.0,0.0,0.0
286_Techno_TS_DHN_SEASONAL_gwp4,TS_DHN_SEASONAL,3.743999999999964,114.878922,18.762481,7.874486,0.000181,1.6e-05,1.5e-05,1.4e-05,1.4e-05,1.5e-05,6e-06,4e-06,2e-06,1e-06,1e-06,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
287_Techno_TS_DHN_SEASONAL_gwp4,TS_DHN_SEASONAL,3.753999999999964,114.882048,18.762689,7.874562,0.00016,1.4e-05,1.2e-05,1.2e-05,1.2e-05,1.2e-05,5e-06,4e-06,1e-06,1e-06,1e-06,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
288_Techno_TS_DHN_SEASONAL_gwp4,TS_DHN_SEASONAL,3.7639999999999634,114.734498,18.763011,7.878009,0.000333,3e-05,3e-05,2.6e-05,2.6e-05,2.8e-05,1.3e-05,9e-06,3e-06,2e-06,2e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.0,0.0,0.0
289_Techno_TS_DHN_SEASONAL_gwp4,TS_DHN_SEASONAL,3.773999999999963,114.708523,18.760889,7.878085,0.000186,1.8e-05,1.8e-05,1.4e-05,1.4e-05,1.6e-05,7e-06,5e-06,2e-06,1e-06,1e-06,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
290_Techno_TS_DHN_SEASONAL_gwp4,TS_DHN_SEASONAL,3.783999999999963,114.709755,18.761349,7.878092,0.000188,1.7e-05,1.6e-05,1.5e-05,1.5e-05,1.5e-05,7e-06,5e-06,2e-06,1e-06,1e-06,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
291_Techno_TS_DHN_SEASONAL_gwp4,TS_DHN_SEASONAL,3.7939999999999623,112.130938,18.768751,7.881388,0.000395,3.6e-05,3.8e-05,3.8e-05,3.7e-05,3.4e-05,1.8e-05,1.2e-05,5e-06,3e-06,3e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.0
292_Techno_TS_DHN_SEASONAL_gwp4,TS_DHN_SEASONAL,3.8039999999999625,108.138709,18.76306,7.887538,0.000232,2.1e-05,2.1e-05,2e-05,2e-05,2e-05,9e-06,7e-06,3e-06,2e-06,2e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.0,0.0,0.0,0.0
293_Techno_TS_DHN_SEASONAL_gwp4,TS_DHN_SEASONAL,3.8139999999999614,106.906515,18.76617,7.889142,0.000494,4.4e-05,4.3e-05,4.2e-05,4.1e-05,4.1e-05,1.9e-05,1.3e-05,5e-06,3e-06,3e-06,2e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.0
294_Techno_TS_DHN_SEASONAL_gwp4,TS_DHN_SEASONAL,3.823999999999962,105.323909,18.770462,7.890685,0.000204,1.9e-05,2e-05,1.7e-05,1.7e-05,1.8e-05,9e-06,6e-06,2e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.0,1e-06,0.0,0.0,0.0,0.0
295_Techno_TS_DHN_SEASONAL_gwp4,TS_DHN_SEASONAL,3.833999999999962,105.065549,18.771385,7.891123,0.000414,3.7e-05,3.7e-05,3.7e-05,3.6e-05,3.5e-05,1.6e-05,1.1e-05,4e-06,3e-06,3e-06,2e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.0
296_Techno_TS_DHN_SEASONAL_gwp4,TS_DHN_SEASONAL,3.8439999999999617,104.128585,18.773648,7.892779,0.000164,1.5e-05,1.5e-05,1.4e-05,1.3e-05,1.4e-05,6e-06,4e-06,2e-06,1e-06,1e-06,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
297_Techno_TS_DHN_SEASONAL_gwp4,TS_DHN_SEASONAL,3.8539999999999615,97.054691,18.791707,7.912573,0.000643,5.4e-05,4.8e-05,4.8e-05,4.9e-05,4.7e-05,2e-05,1.5e-05,5e-06,3e-06,3e-06,2e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.0
298_Techno_TS_DHN_SEASONAL_gwp4,TS_DHN_SEASONAL,3.863999999999961,97.056601,18.791772,7.912548,0.000385,3.6e-05,3.7e-05,3.3e-05,3.3e-05,3.4e-05,1.6e-05,1.2e-05,4e-06,2e-06,3e-06,2e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.0
299_Techno_TS_DHN_SEASONAL_gwp4,TS_DHN_SEASONAL,3.873999999999961,95.455931,18.796509,7.914311,0.000664,6.1e-05,6.2e-05,5.9e-05,5.8e-05,5.7e-05,2.7e-05,1.7e-05,7e-06,4e-06,4e-06,2e-06,2e-06,2e-06,2e-06,2e-06,1e-06,1e-06,1e-06,0.0
