folder,techno_modifiee,gwp_constr,f_TS_DHN_SEASONAL,f_CAR_FUEL_CELL,f_CAR_NG,f_CAR_DIESEL,f_CAR_HEV,f_CAR_METHANOL,f_CAR_GASOLINE,f_CAR_PHEV,f_CAR_BEV
131_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.193999999999997,527.787104,177.001134,1.321816,0.851823,1.83297,0.772118,1.793751,0.000967,0.000335
132_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.2039999999999966,528.216611,179.486999,1.491115,4.01161,1.781484,4.49776,1.515122,0.000947,0.00026
133_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.2139999999999964,527.285769,178.419174,2.401734,2.421865,1.448517,1.797916,1.082128,5.7e-05,1.6e-05
134_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.223999999999996,526.417692,177.732325,3.376488,2.046085,0.972023,2.473395,0.96036,8.9e-05,2.9e-05
135_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.233999999999996,522.594035,177.014054,1.623666,3.304034,6.763121,1.314505,1.355504,0.001053,0.00032
136_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.243999999999996,521.315737,178.664983,1.435029,6.892091,2.713764,2.208909,1.791665,1.4e-05,4e-06
137_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.253999999999996,521.519237,177.070581,2.510387,5.827422,8.970924,4.82414,2.348473,7.2e-05,2.5e-05
138_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.263999999999996,521.292091,178.569751,1.186826,0.922892,1.997171,1.864909,1.842519,5.9e-05,2e-05
139_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.273999999999995,520.83569,180.318511,2.858862,1.149321,2.98656,0.903083,2.111724,7e-05,2e-05
140_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.283999999999995,520.019867,191.042113,5.589965,5.493513,0.893674,1.501484,5.200065,4.8e-05,1.4e-05
141_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.2939999999999947,519.06978,178.106649,0.958501,3.061438,2.343464,0.914467,1.739349,6.6e-05,1.9e-05
142_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.3039999999999945,519.196352,191.883659,0.844416,1.998941,0.495061,1.069764,0.660791,5.8e-05,2.1e-05
143_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.3139999999999943,519.12613,177.124865,6.913831,10.411095,4.053072,4.778168,2.026975,7.7e-05,2.3e-05
