folder,techno_modifiee,gwp_constr,f_TS_DHN_SEASONAL,f_PV,f_WIND_ONSHORE,f_WIND_OFFSHORE,f_CCGT_AMMONIA,f_HYDRO_RIVER,f_CCGT,f_COAL_IGCC,f_COAL_US,f_GEOTHERMAL,f_NUCLEAR
56_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.4440000000000004,785.600144,59.174995,10.0,6.0,0.779137,0.115,2e-06,0.0,0.0,0.0,0.0
57_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.4540000000000004,785.596448,59.174992,10.0,6.0,0.779074,0.115,3e-06,0.0,0.0,0.0,0.0
58_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.4640000000000004,781.808324,59.174998,10.0,6.0,0.781971,0.115,1e-06,0.0,0.0,0.0,0.0
59_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.4740000000000004,774.462312,59.174984,10.0,6.0,0.786236,0.115,5e-06,0.0,0.0,0.0,0.0
60_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.4840000000000004,759.569873,59.174994,10.0,6.0,0.796867,0.115,3e-06,0.0,0.0,0.0,0.0
61_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.4940000000000004,759.547555,59.174996,10.0,6.0,0.79687,0.115,1e-06,0.0,0.0,0.0,0.0
62_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,1.5040000000000004,759.548918,59.174997,10.0,6.0,0.796893,0.115,1e-06,0.0,0.0,0.0,0.0
63_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,1.5140000000000005,759.548142,59.174996,10.0,6.0,0.796905,0.115,1e-06,0.0,0.0,0.0,0.0
64_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,1.5240000000000005,753.583148,59.174992,10.0,6.0,0.802705,0.115,3e-06,0.0,0.0,0.0,0.0
65_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,1.5340000000000005,752.771201,59.174988,10.0,6.0,0.803488,0.115,4e-06,0.0,0.0,0.0,0.0
66_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,1.5440000000000005,748.452303,59.174983,10.0,6.0,0.807742,0.115,6e-06,0.0,0.0,0.0,0.0
67_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,1.5540000000000005,746.923425,59.174993,10.0,6.0,0.809152,0.115,2e-06,0.0,0.0,0.0,0.0
68_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,1.5640000000000005,746.893736,59.174995,10.0,6.0,0.8092,0.115,2e-06,0.0,0.0,0.0,0.0
69_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,1.5740000000000005,746.09658,59.174998,10.0,6.0,0.809958,0.115,1e-06,0.0,0.0,0.0,0.0
70_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,1.5840000000000003,740.962282,59.174996,10.0,6.0,0.814945,0.115,2e-06,0.0,0.0,0.0,0.0
71_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,1.5940000000000003,740.960651,59.174995,10.0,6.0,0.814942,0.115,2e-06,0.0,0.0,0.0,0.0
