folder,techno_modifiee,gwp_constr,f_TS_DHN_SEASONAL,f_IND_DIRECT_ELEC,f_IND_BOILER_GAS,f_IND_COGEN_GAS,f_IND_BOILER_WOOD,f_IND_BOILER_OIL,f_IND_BOILER_WASTE,f_IND_BOILER_COAL,f_IND_COGEN_WOOD,f_IND_COGEN_WASTE
56_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.4440000000000004,785.600144,17.624638,6.231191,5.243381,4.282913,1.1e-05,5e-06,3e-06,2e-06,0.0
57_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.4540000000000004,785.596448,17.624733,6.231193,5.243428,4.282749,2e-05,9e-06,5e-06,3e-06,1e-06
58_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.4640000000000004,781.808324,17.622849,6.231569,5.24452,4.281197,4e-06,2e-06,1e-06,1e-06,0.0
59_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.4740000000000004,774.462312,17.618137,6.233326,5.247375,4.276036,3.6e-05,1.6e-05,1e-05,5e-06,1e-06
60_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.4840000000000004,759.569873,17.610541,6.235439,5.252005,4.269992,1.6e-05,7e-06,4e-06,2e-06,1e-06
61_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.4940000000000004,759.547555,17.610435,6.235442,5.252012,4.269951,1e-05,4e-06,2e-06,1e-06,0.0
62_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,1.5040000000000004,759.548918,17.610432,6.235442,5.252007,4.269953,6e-06,2e-06,1e-06,1e-06,0.0
63_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,1.5140000000000005,759.548142,17.610466,6.235442,5.251996,4.269992,7e-06,3e-06,2e-06,1e-06,0.0
64_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,1.5240000000000005,753.583148,17.60778,6.236255,5.253837,4.267249,1.8e-05,8e-06,5e-06,3e-06,1e-06
65_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,1.5340000000000005,752.771201,17.607411,6.236375,5.254095,4.266756,3e-05,1.3e-05,7e-06,4e-06,1e-06
