folder,techno_modifiee,technology,f,gwp_constr
124_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,AMMONIA_TO_H2,9.631518,2.1239999999999983
125_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,AMMONIA_TO_H2,8.912953,2.133999999999998
126_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,AMMONIA_TO_H2,9.036307,2.143999999999998
127_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,AMMONIA_TO_H2,8.351606,2.1539999999999977
128_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,AMMONIA_TO_H2,9.869991,2.163999999999997
129_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,AMMONIA_TO_H2,8.814501,2.1739999999999973
130_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,AMMONIA_TO_H2,10.884665,2.183999999999997
131_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,AMMONIA_TO_H2,8.17617,2.193999999999997
132_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,AMMONIA_TO_H2,9.67524,2.2039999999999966
133_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,AMMONIA_TO_H2,10.747101,2.2139999999999964
134_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,AMMONIA_TO_H2,8.873556,2.223999999999996
135_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,AMMONIA_TO_H2,9.343407,2.233999999999996
136_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,AMMONIA_TO_H2,10.078997,2.243999999999996
137_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,AMMONIA_TO_H2,9.429203,2.253999999999996
138_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,AMMONIA_TO_H2,10.077395,2.263999999999996
139_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,AMMONIA_TO_H2,9.616434,2.273999999999995
140_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,AMMONIA_TO_H2,8.079812,2.283999999999995
141_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,AMMONIA_TO_H2,10.295367,2.2939999999999947
142_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,AMMONIA_TO_H2,7.09604,2.3039999999999945
143_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,AMMONIA_TO_H2,7.885002,2.3139999999999943
144_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,AMMONIA_TO_H2,8.769531,2.323999999999994
145_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,AMMONIA_TO_H2,6.671011,2.333999999999994
146_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,AMMONIA_TO_H2,8.365781,2.3439999999999936
147_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,AMMONIA_TO_H2,9.681587,2.353999999999993
148_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,AMMONIA_TO_H2,8.649405,2.363999999999993
149_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,AMMONIA_TO_H2,9.224768,2.373999999999993
150_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,AMMONIA_TO_H2,6.143319,2.383999999999993
151_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,AMMONIA_TO_H2,10.535611,2.3939999999999926
152_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,AMMONIA_TO_H2,6.973393,2.4039999999999924
153_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,AMMONIA_TO_H2,8.856503,2.413999999999992
154_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,AMMONIA_TO_H2,7.766352,2.423999999999992
155_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,AMMONIA_TO_H2,8.63454,2.433999999999992
156_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,AMMONIA_TO_H2,9.649179,2.4439999999999915
