folder,techno_modifiee,gwp_constr,f_TS_DHN_SEASONAL,f_TRUCK_ELEC,f_BOAT_FREIGHT_DIESEL,f_TRUCK_FUEL_CELL,f_BOAT_FREIGHT_METHANOL,f_TRUCK_DIESEL,f_TRAIN_FREIGHT,f_TRUCK_NG,f_BOAT_FREIGHT_NG,f_TRUCK_METHANOL
166_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.5439999999999894,480.184255,52.953121,27.979259,44.199846,14.625333,17.337229,7.73042,0.529634,1.482534,1.709024
167_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.553999999999989,478.457813,51.480649,28.505897,28.36623,13.252336,1.307242,7.73042,9.940196,5.12678,16.324748
168_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.563999999999989,475.51652,51.528147,28.417025,4.957534,1.973024,2.218724,7.730421,2.758761,1.842838,5.248787
169_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.5739999999999887,472.189173,54.891977,28.341056,46.762308,1.353613,10.191969,7.73042,2.454359,1.583564,3.217529
170_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.5839999999999885,472.16847,52.366132,28.301923,22.352313,1.543418,9.01175,7.730421,1.606002,5.266907,0.182451
171_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.5939999999999883,471.892085,55.786927,28.010535,3.824775,36.758303,7.222187,7.73042,20.718297,3.941816,4.487064
172_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.603999999999988,460.676287,52.061448,28.302874,19.427783,1.40723,7.293455,7.73042,1.094807,1.216587,1.616893
173_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.613999999999988,460.890071,58.657466,28.462249,0.438866,1.712077,3.237032,7.730421,0.102017,1.896423,0.151645
174_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.623999999999988,460.724698,51.47629,28.459897,24.143904,2.170226,0.690019,7.730421,1.286394,8.020723,0.806741
175_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.6339999999999875,459.344931,55.297522,28.534475,0.28798,1.879683,1.768662,7.73042,1.195803,1.993342,0.211573
176_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.6439999999999872,458.332061,67.437386,28.385124,21.849088,2.487962,0.691342,7.73042,1.362518,2.165325,0.541072
177_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.653999999999987,458.541438,52.209867,28.426725,19.089115,1.70527,0.370479,7.730421,0.104537,2.475956,1.490217
178_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.663999999999987,457.53926,54.162257,27.982677,16.066687,22.866159,5.328221,7.73042,14.419329,2.596617,2.346962
179_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.6739999999999866,454.00012,51.53119,28.357282,15.6249,1.96719,13.77742,7.730421,2.640663,4.227478,7.748735
180_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.6839999999999864,450.005492,58.139173,28.262662,20.643502,2.71308,12.366582,7.73042,2.489982,2.041419,27.460708
181_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.693999999999986,439.158691,51.541923,28.268888,15.427085,1.624363,6.297339,7.73042,0.15576,1.709815,1.51511
182_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.703999999999986,439.472162,60.212482,28.393158,0.355951,1.748092,3.143971,7.73042,4.353725,1.93821,0.204145
183_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.7139999999999858,439.453001,57.21049,28.606937,0.456646,2.005555,2.65144,7.730421,2.930977,2.154359,0.213517
184_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.723999999999985,432.84605,51.47804,28.285747,35.308734,1.215424,0.726696,7.730421,1.320125,4.547924,0.982477
185_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.7339999999999853,429.879181,51.492569,28.3309,49.031246,3.506337,0.143679,7.730421,0.120795,6.21335,0.379168
186_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.743999999999985,429.462303,53.420146,27.998509,23.768953,15.971336,11.800073,7.730419,0.492291,2.127719,1.347998
187_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.753999999999985,429.386341,56.69348,28.370763,39.885125,1.359098,9.914827,7.73042,2.022302,1.679006,2.879932
188_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.7639999999999847,429.369579,51.487225,28.327314,21.10984,2.960976,4.820055,7.730421,9.015967,2.801316,0.336886
189_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.7739999999999845,429.37486,55.069281,28.417497,37.721658,1.718131,27.698832,7.73042,2.782316,1.679452,3.444995
190_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.7839999999999843,429.339445,62.395886,28.51323,0.682279,2.274016,5.658818,7.73042,3.70588,2.431205,0.150774
191_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.793999999999984,419.973888,51.560431,28.452976,0.204352,1.879476,5.520987,7.73042,0.332649,1.886688,0.779322
192_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.803999999999984,418.898059,59.158482,28.478835,11.619015,7.148062,17.00673,7.73042,0.612044,2.208056,5.058983
193_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.813999999999984,413.497115,51.480618,28.718181,15.538539,5.035827,12.86207,7.730421,0.181722,17.450335,0.315218
194_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.8239999999999834,413.497832,54.171379,28.108637,2.188052,45.484705,4.492913,7.73042,11.04852,4.045364,2.860436
195_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.833999999999983,413.436884,60.035783,28.435768,7.291422,3.941501,15.085039,7.73042,0.194767,1.546137,2.933915
196_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.843999999999983,413.328821,59.980694,28.385827,0.489382,1.620871,2.949301,7.73042,0.281123,1.7085,0.162237
197_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.8539999999999828,413.342664,52.530214,28.026112,37.583194,13.051068,18.56387,7.730419,0.665933,1.9842,2.485409
198_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.8639999999999826,413.359317,56.207966,28.310824,42.139407,1.355468,18.035568,7.73042,2.201407,1.498244,2.89802
199_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.8739999999999823,413.325806,56.886581,28.302741,17.97876,4.269252,15.310657,7.730421,8.594813,1.982899,4.331218
200_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.883999999999982,413.32232,58.915712,28.430891,23.372298,4.087542,10.076943,7.730421,8.706848,1.617502,8.512366
201_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.893999999999982,402.679693,53.315095,28.387893,24.046047,1.953089,0.454958,7.73042,0.332237,2.081953,0.177371
202_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.9039999999999817,388.119436,52.56325,28.218995,84.52825,1.193257,21.814339,7.730419,3.36186,1.166727,12.389639
203_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.913999999999981,386.575987,51.476481,28.396735,21.211767,2.118149,4.897695,7.730421,1.480387,5.606963,1.852512
204_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.9239999999999813,382.257214,54.37808,27.967025,10.841468,24.330355,5.355662,7.730419,15.673987,3.024353,3.057241
205_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.933999999999981,382.088197,51.492527,28.371864,37.996984,1.715587,8.787376,7.730421,1.093032,5.278393,14.483748
206_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.943999999999981,382.224028,57.009431,28.457657,0.447544,1.723025,2.736799,7.730421,0.207255,1.898665,0.182325
207_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.9539999999999806,381.988755,58.73792,28.363308,11.663429,5.482099,17.143478,7.73042,0.516,1.648471,5.428883
208_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.9639999999999804,379.01884,51.506186,28.385625,22.453411,2.024566,0.68565,7.730421,6.596272,14.519906,1.00629
209_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.97399999999998,361.275102,51.523653,28.490642,3.199725,3.231837,0.818587,7.730421,1.243737,1.956775,4.072238
210_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.98399999999998,355.593386,53.086082,28.005758,45.569399,16.148485,21.075881,7.73042,0.710502,1.459722,4.759471
211_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.99399999999998,347.826668,51.985133,28.513375,0.939852,2.8021,3.870031,7.730421,0.175451,4.256681,1.025842
212_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.00399999999998,346.243491,60.885753,28.318353,29.003963,3.476199,8.934597,7.730421,9.49846,1.707139,10.246491
213_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.01399999999998,343.547088,54.523657,28.171966,10.195642,1.031719,35.358071,7.730419,44.297628,1.080019,5.242763
214_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.023999999999979,337.753543,51.498156,28.577404,42.085106,2.245404,2.614485,7.73042,11.109588,2.746262,0.252884
215_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.033999999999979,332.997624,51.499004,28.316141,10.289507,4.327452,3.793985,7.730421,55.064625,7.846758,0.998154
216_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.0439999999999787,318.411827,51.519078,28.413926,25.439529,13.854247,28.210867,7.73042,3.205197,13.446018,6.962259
217_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.0539999999999785,316.870455,58.11745,28.378667,0.506598,1.551621,2.993262,7.730421,1.61526,1.684365,0.144997
218_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.0639999999999783,315.130985,61.195733,28.300023,0.451624,1.565854,3.463065,7.730421,0.179398,1.7194,0.159961
219_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.073999999999978,309.639135,51.961247,28.420656,2.288993,2.144563,0.21324,7.730421,1.123923,2.201297,0.202507
220_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.083999999999978,305.693407,51.495405,28.232896,0.123285,1.412732,3.886892,7.73042,11.549486,1.749058,8.934278
221_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.0939999999999777,300.166228,70.274434,28.328715,0.573468,1.678985,5.939178,7.73042,3.084078,1.926468,0.164368
222_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.103999999999977,295.865575,51.479163,28.433835,32.311419,5.824262,10.131855,7.730421,0.564639,12.152932,0.624654
223_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.113999999999977,291.986004,62.646825,28.409554,0.590219,1.741713,5.298684,7.73042,0.338716,1.901298,0.176119
224_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.123999999999977,285.594276,54.453245,28.484003,13.807559,2.49344,4.803726,7.73042,1.112006,2.686262,1.935175
225_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.133999999999977,270.526919,51.484188,28.314228,26.965937,1.611749,4.789884,7.730421,8.170217,6.872505,0.930372
226_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.1439999999999766,258.260482,58.576125,28.437396,0.623023,1.648801,2.869428,7.73042,3.849975,1.73485,0.195298
227_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.1539999999999764,255.45648,51.504865,28.142447,66.275735,5.850683,0.377882,7.730421,0.355844,5.98816,0.6279
228_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.163999999999976,247.573573,53.505013,28.369084,8.476211,1.57175,1.781742,7.73042,0.234183,1.619802,0.128045
229_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.173999999999976,229.147029,52.012941,28.339382,30.735516,1.790226,3.631448,7.730421,0.347324,5.247087,8.234467
230_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.183999999999976,229.105313,51.517257,28.200341,16.917118,3.159892,2.289551,7.730421,0.229698,6.406473,0.499298
231_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.1939999999999755,225.162552,54.719787,28.156687,3.733556,8.730839,4.854199,7.73042,0.339022,15.83137,14.860678
232_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.2039999999999758,218.870836,54.607626,28.394812,0.189742,5.921385,8.48321,7.730421,5.191608,5.674378,1.258417
233_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.213999999999975,218.973433,51.523459,28.338513,4.103308,16.928142,5.411743,7.73042,1.134806,7.734319,1.091216
234_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.223999999999975,219.020995,66.379969,28.131625,84.718254,1.242222,15.649951,7.73042,4.596401,1.512445,6.815139
235_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.2339999999999747,219.036747,51.483352,28.390943,28.505159,1.644454,6.506908,7.73042,2.386608,1.877762,0.109397
236_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.2439999999999745,218.975208,51.519889,28.226119,7.830331,2.151236,9.487287,7.730421,0.472088,1.495757,1.930381
237_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.2539999999999742,218.838076,51.813896,28.445213,7.244327,1.745742,1.676399,7.73042,0.186875,1.797672,0.201632
238_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.263999999999974,216.566096,65.738665,28.274121,0.400038,1.74518,3.923551,7.730421,4.490289,2.017085,0.199564
239_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.273999999999974,215.892244,51.530562,28.434465,5.683139,14.783961,2.349038,7.730421,0.227001,1.412921,0.15642
240_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.2839999999999736,212.940927,51.495653,28.454459,50.758092,33.513179,15.046055,7.73042,0.089319,1.268966,0.093389
241_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.2939999999999734,212.307457,59.011073,28.703953,1.57371,6.099511,2.209336,7.730421,2.234102,4.839583,0.262636
242_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.303999999999973,205.714908,51.477634,28.281872,2.139534,15.338672,4.035262,7.730421,14.182784,2.244941,1.070788
243_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.313999999999973,202.32492,51.707678,28.36928,13.086282,13.197392,0.945788,7.730421,1.773915,1.397316,0.371136
244_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.3239999999999728,195.811168,61.69737,28.10705,61.11246,5.882039,17.457574,7.73042,3.166761,1.380015,3.234369
245_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.3339999999999725,191.971648,52.442127,28.117726,58.225258,16.009559,50.981977,7.730421,10.253636,3.832346,13.064718
246_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.3439999999999723,191.745043,54.63917,28.326421,26.177435,6.665593,13.778751,7.730421,0.088139,1.957863,0.165592
247_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.353999999999972,191.713559,51.52062,28.362308,1.050722,2.196374,2.611482,7.730421,0.244312,1.617691,0.277515
248_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.363999999999972,186.504536,51.530124,28.138264,40.875444,12.740496,11.645697,7.73042,1.735187,16.487394,1.62552
