folder,techno_modifiee,technology,f,gwp_constr
Techno_BEV_BATT_gwp0,BEV_BATT,BIOMASS_TO_HVC,0.000119,0.0
Techno_BEV_BATT_gwp1,BEV_BATT,BIOMASS_TO_HVC,8.985724,1.2999999999999972
Techno_BEV_BATT_gwp6,BEV_BATT,BIOMASS_TO_HVC,9.00649,6.299999999999997
Techno_BEV_BATT_gwp11,BEV_BATT,BIOMASS_TO_HVC,8.78286,11.299999999999995
Techno_BEV_BATT_gwp16,BEV_BATT,BIOMASS_TO_HVC,9.240063,16.299999999999997
Techno_BEV_BATT_gwp21,BEV_BATT,BIOMASS_TO_HVC,9.032074,21.3
Techno_BEV_BATT_gwp26,BEV_BATT,BIOMASS_TO_HVC,8.499534,26.3
Techno_BEV_BATT_gwp31,BEV_BATT,BIOMASS_TO_HVC,9.418892,31.3
Techno_BEV_BATT_gwp36,BEV_BATT,BIOMASS_TO_HVC,8.153361,36.3
Techno_BEV_BATT_gwp41,BEV_BATT,BIOMASS_TO_HVC,8.45841,41.3
Techno_BEV_BATT_gwp46,BEV_BATT,BIOMASS_TO_HVC,8.814002,46.3
Techno_BEV_BATT_gwp51,BEV_BATT,BIOMASS_TO_HVC,8.46858,51.3
Techno_BEV_BATT_gwp56,BEV_BATT,BIOMASS_TO_HVC,8.448695,56.3
Techno_BEV_BATT_gwp61,BEV_BATT,BIOMASS_TO_HVC,7.490207,61.3
Techno_BEV_BATT_gwp0,BEV_BATT,BIOMASS_TO_METHANOL,9.9e-05,0.0
Techno_BEV_BATT_gwp1,BEV_BATT,BIOMASS_TO_METHANOL,7.575422,1.2999999999999972
Techno_BEV_BATT_gwp6,BEV_BATT,BIOMASS_TO_METHANOL,7.554405,6.299999999999997
Techno_BEV_BATT_gwp11,BEV_BATT,BIOMASS_TO_METHANOL,7.287444,11.299999999999995
Techno_BEV_BATT_gwp16,BEV_BATT,BIOMASS_TO_METHANOL,7.612784,16.299999999999997
Techno_BEV_BATT_gwp21,BEV_BATT,BIOMASS_TO_METHANOL,7.3632,21.3
Techno_BEV_BATT_gwp26,BEV_BATT,BIOMASS_TO_METHANOL,6.895595,26.3
Techno_BEV_BATT_gwp31,BEV_BATT,BIOMASS_TO_METHANOL,7.846252,31.3
Techno_BEV_BATT_gwp36,BEV_BATT,BIOMASS_TO_METHANOL,6.781832,36.3
Techno_BEV_BATT_gwp41,BEV_BATT,BIOMASS_TO_METHANOL,7.119834,41.3
Techno_BEV_BATT_gwp46,BEV_BATT,BIOMASS_TO_METHANOL,7.36961,46.3
Techno_BEV_BATT_gwp51,BEV_BATT,BIOMASS_TO_METHANOL,6.830959,51.3
Techno_BEV_BATT_gwp56,BEV_BATT,BIOMASS_TO_METHANOL,7.012812,56.3
Techno_BEV_BATT_gwp61,BEV_BATT,BIOMASS_TO_METHANOL,6.199412,61.3
Techno_BEV_BATT_gwp0,BEV_BATT,GAS_TO_HVC,0.000208,0.0
Techno_BEV_BATT_gwp1,BEV_BATT,GAS_TO_HVC,14.197475,1.2999999999999972
Techno_BEV_BATT_gwp6,BEV_BATT,GAS_TO_HVC,13.757369,6.299999999999997
Techno_BEV_BATT_gwp11,BEV_BATT,GAS_TO_HVC,13.257409,11.299999999999995
