folder,techno_modifiee,gwp_constr,f_TS_DHN_SEASONAL,f_DHN_HP_ELEC,f_DHN_BOILER_GAS,f_DHN_BOILER_OIL,f_DHN_BOILER_WOOD,f_DHN_COGEN_WOOD,f_DHN_COGEN_GAS,f_DHN_SOLAR,f_DHN_COGEN_WASTE,f_DHN_COGEN_BIO_HYDROLYSIS,f_DHN_COGEN_WET_BIOMASS,f_DHN_DEEP_GEO
30_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.1840000000000002,870.436122,8.592319,2e-06,2e-06,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.1940000000000002,863.028571,8.541553,1.3e-05,1.2e-05,6e-06,2e-06,1e-06,1e-06,0.0,0.0,0.0,0.0
32_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.2040000000000002,854.612968,8.492882,1.4e-05,1.3e-05,6e-06,2e-06,1e-06,1e-06,0.0,0.0,0.0,0.0
33_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.2140000000000002,849.726105,8.486345,6e-06,6e-06,3e-06,1e-06,0.0,0.0,0.0,0.0,0.0,0.0
34_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.2240000000000002,844.873321,8.48698,7e-06,6e-06,3e-06,1e-06,0.0,0.0,0.0,0.0,0.0,0.0
35_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.2340000000000002,844.87012,8.486984,3e-06,3e-06,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.2440000000000002,844.880638,8.486402,4.7e-05,4.4e-05,2e-05,5e-06,2e-06,2e-06,1e-06,1e-06,1e-06,0.0
37_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.2540000000000002,844.662651,8.486655,8e-06,7e-06,4e-06,1e-06,0.0,1e-06,0.0,0.0,0.0,0.0
38_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.2640000000000002,836.698227,8.47859,4e-06,4e-06,2e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.2740000000000002,836.696738,8.47855,5e-06,5e-06,2e-06,1e-06,0.0,0.0,0.0,0.0,0.0,0.0
40_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.2840000000000005,836.688495,8.478565,1e-05,9e-06,4e-06,1e-06,0.0,1e-06,0.0,0.0,0.0,0.0
41_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.2940000000000005,830.226241,8.471185,8e-06,8e-06,4e-06,1e-06,0.0,1e-06,0.0,0.0,0.0,0.0
42_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.3040000000000005,826.654727,8.447108,6e-06,6e-06,3e-06,1e-06,0.0,0.0,0.0,0.0,0.0,0.0
43_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.3140000000000005,818.886129,8.392599,1e-06,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.3240000000000005,811.719605,8.389497,2.1e-05,1.9e-05,9e-06,3e-06,1e-06,1e-06,1e-06,1e-06,0.0,0.0
45_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.3340000000000003,811.681075,8.389414,7e-06,6e-06,3e-06,1e-06,0.0,0.0,0.0,0.0,0.0,0.0
46_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.3440000000000003,811.685962,8.389427,9e-06,9e-06,4e-06,1e-06,0.0,1e-06,0.0,0.0,0.0,0.0
47_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.3540000000000003,811.676966,8.389403,1e-05,9e-06,4e-06,1e-06,0.0,1e-06,0.0,0.0,0.0,0.0
48_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.3640000000000003,796.073397,8.377031,3.1e-05,2.9e-05,1.4e-05,4e-06,2e-06,2e-06,1e-06,1e-06,1e-06,0.0
49_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.3740000000000003,793.719052,8.375125,2.6e-05,2.5e-05,1.2e-05,3e-06,1e-06,2e-06,1e-06,1e-06,1e-06,0.0
50_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.3840000000000003,788.193008,8.365876,1.7e-05,1.5e-05,7e-06,2e-06,1e-06,1e-06,1e-06,0.0,0.0,0.0
51_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.3940000000000003,788.225028,8.365914,2.8e-05,2.6e-05,1.2e-05,3e-06,1e-06,2e-06,1e-06,1e-06,1e-06,0.0
52_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.4040000000000004,788.197822,8.365894,3.8e-05,3.5e-05,1.6e-05,4e-06,2e-06,2e-06,1e-06,1e-06,1e-06,0.0
53_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.4140000000000004,788.192756,8.365875,1.2e-05,1.1e-05,5e-06,1e-06,1e-06,1e-06,0.0,0.0,0.0,0.0
54_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.4240000000000004,785.596432,8.362224,2e-06,2e-06,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.4340000000000004,785.599247,8.36223,3.7e-05,3.5e-05,1.6e-05,4e-06,2e-06,2e-06,1e-06,1e-06,1e-06,0.0
56_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.4440000000000004,785.600144,8.362224,1.3e-05,1.2e-05,6e-06,2e-06,1e-06,1e-06,0.0,0.0,0.0,0.0
57_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.4540000000000004,785.596448,8.36223,2.1e-05,1.9e-05,9e-06,3e-06,1e-06,2e-06,1e-06,1e-06,0.0,0.0
58_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.4640000000000004,781.808324,8.356594,5e-06,5e-06,2e-06,1e-06,0.0,0.0,0.0,0.0,0.0,0.0
59_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.4740000000000004,774.462312,8.324897,4.1e-05,3.8e-05,1.9e-05,5e-06,2e-06,3e-06,1e-06,1e-06,1e-06,0.0
60_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.4840000000000004,759.569873,8.311204,1.8e-05,1.6e-05,8e-06,2e-06,1e-06,1e-06,1e-06,1e-06,0.0,0.0
61_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.4940000000000004,759.547555,8.311185,1e-05,1e-05,5e-06,1e-06,1e-06,1e-06,0.0,0.0,0.0,0.0
62_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,1.5040000000000004,759.548918,8.311179,8e-06,7e-06,3e-06,1e-06,0.0,0.0,0.0,0.0,0.0,0.0
63_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,1.5140000000000005,759.548142,8.311178,1e-05,9e-06,4e-06,1e-06,0.0,1e-06,0.0,0.0,0.0,0.0
64_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,1.5240000000000005,753.583148,8.305172,2.4e-05,2.2e-05,1e-05,3e-06,1e-06,1e-06,1e-06,1e-06,0.0,0.0
65_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,1.5340000000000005,752.771201,8.304346,3.3e-05,3.2e-05,1.5e-05,4e-06,2e-06,2e-06,1e-06,1e-06,1e-06,0.0
66_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,1.5440000000000005,748.452303,8.299362,4.5e-05,4.3e-05,2e-05,5e-06,2e-06,3e-06,1e-06,1e-06,1e-06,0.0
67_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,1.5540000000000005,746.923425,8.297594,2e-05,1.9e-05,9e-06,2e-06,1e-06,1e-06,1e-06,1e-06,0.0,0.0
68_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,1.5640000000000005,746.893736,8.297565,1.5e-05,1.3e-05,7e-06,2e-06,1e-06,1e-06,0.0,0.0,0.0,0.0
69_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,1.5740000000000005,746.09658,8.29662,4e-06,4e-06,2e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,1.5840000000000003,740.962282,8.290943,1.2e-05,1.2e-05,5e-06,1e-06,1e-06,1e-06,0.0,0.0,0.0,0.0
71_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,1.5940000000000003,740.960651,8.290946,1.5e-05,1.4e-05,6e-06,2e-06,1e-06,1e-06,0.0,0.0,0.0,0.0
72_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,1.6040000000000003,740.95247,8.290785,6e-06,6e-06,3e-06,1e-06,0.0,0.0,0.0,0.0,0.0,0.0
73_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,1.6140000000000003,740.958263,8.290909,1e-05,9e-06,4e-06,1e-06,1e-06,1e-06,0.0,0.0,0.0,0.0
74_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,1.6240000000000006,738.764387,8.288856,3e-06,3e-06,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,1.6340000000000006,738.764681,8.288942,5e-06,5e-06,2e-06,1e-06,0.0,0.0,0.0,0.0,0.0,0.0
76_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,1.6440000000000006,738.75821,8.288795,4.3e-05,4.1e-05,1.9e-05,5e-06,2e-06,2e-06,1e-06,1e-06,1e-06,0.0
77_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,1.6540000000000006,727.440391,8.273995,2e-05,1.9e-05,9e-06,2e-06,1e-06,1e-06,1e-06,0.0,0.0,0.0
78_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,1.6640000000000006,723.414418,8.245739,1.5e-05,1.4e-05,7e-06,2e-06,1e-06,1e-06,0.0,0.0,0.0,0.0
79_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,1.6740000000000006,721.362084,8.242264,1.1e-05,1.1e-05,5e-06,1e-06,1e-06,1e-06,0.0,0.0,0.0,0.0
80_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,1.6840000000000006,721.362125,8.242262,6e-06,6e-06,3e-06,1e-06,0.0,0.0,0.0,0.0,0.0,0.0
81_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,1.6940000000000006,721.35128,8.242206,2e-06,2e-06,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,1.7040000000000006,720.15371,8.242458,5e-06,5e-06,2e-06,1e-06,0.0,0.0,0.0,0.0,0.0,0.0
83_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,1.7140000000000006,720.1505,8.242474,1.3e-05,1.2e-05,6e-06,2e-06,1e-06,1e-06,0.0,0.0,0.0,0.0
84_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,1.7240000000000006,718.197781,8.242913,4e-06,4e-06,2e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,1.7340000000000009,715.727004,8.243373,2.7e-05,2.4e-05,1.2e-05,3e-06,1e-06,2e-06,1e-06,1e-06,1e-06,0.0
86_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,1.7440000000000009,715.68675,8.243096,5e-05,4.7e-05,2.3e-05,6e-06,2e-06,3e-06,2e-06,1e-06,1e-06,0.0
87_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,1.754000000000001,714.386765,8.233987,2.2e-05,2.1e-05,9e-06,2e-06,1e-06,1e-06,1e-06,1e-06,0.0,0.0
88_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,1.764000000000001,709.640499,8.200671,1.9e-05,1.8e-05,8e-06,2e-06,1e-06,1e-06,1e-06,0.0,0.0,0.0
89_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,1.774000000000001,709.631167,8.200615,1.7e-05,1.5e-05,7e-06,2e-06,1e-06,1e-06,1e-06,0.0,0.0,0.0
90_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,1.7840000000000007,709.624324,8.200568,1.1e-05,1.1e-05,5e-06,1e-06,1e-06,1e-06,0.0,0.0,0.0,0.0
91_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,1.7940000000000007,709.622999,8.200559,4e-06,4e-06,2e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,1.8040000000000007,685.623349,8.03214,1.7e-05,1.6e-05,8e-06,2e-06,1e-06,1e-06,1e-06,0.0,0.0,0.0
93_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,1.8140000000000007,681.888508,8.005922,1.4e-05,1.3e-05,6e-06,1e-06,1e-06,1e-06,0.0,0.0,0.0,0.0
94_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,1.8240000000000007,678.362715,7.98119,8e-06,7e-06,3e-06,1e-06,0.0,0.0,0.0,0.0,0.0,0.0
95_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,1.8340000000000007,678.370389,7.981244,4.6e-05,4.3e-05,2.2e-05,6e-06,3e-06,3e-06,2e-06,1e-06,1e-06,0.0
96_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,1.8440000000000007,675.847305,7.96354,1.9e-05,1.8e-05,8e-06,2e-06,1e-06,1e-06,1e-06,0.0,0.0,0.0
97_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,1.8540000000000008,675.830642,7.96343,2.2e-05,2.1e-05,1e-05,3e-06,1e-06,1e-06,1e-06,1e-06,0.0,0.0
98_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,1.8640000000000008,664.001029,7.880419,1.7e-05,1.6e-05,7e-06,2e-06,1e-06,1e-06,1e-06,1e-06,0.0,0.0
99_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,1.8740000000000008,663.796408,7.878986,2.8e-05,2.5e-05,1.2e-05,3e-06,2e-06,2e-06,1e-06,1e-06,1e-06,0.0
100_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,1.8840000000000008,663.791619,7.878942,1e-05,9e-06,4e-06,1e-06,0.0,1e-06,0.0,0.0,0.0,0.0
101_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,1.8940000000000008,662.125486,7.867273,4.8e-05,4.5e-05,2.1e-05,6e-06,3e-06,3e-06,1e-06,1e-06,1e-06,0.0
102_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,1.9040000000000008,657.09121,7.831937,1.6e-05,1.5e-05,7e-06,2e-06,1e-06,1e-06,0.0,0.0,0.0,0.0
103_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,1.9140000000000008,656.892902,7.830551,1.7e-05,1.7e-05,7e-06,2e-06,1e-06,1e-06,1e-06,0.0,0.0,0.0
104_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,1.9240000000000008,652.814429,7.820925,1e-05,1e-05,5e-06,1e-06,1e-06,1e-06,0.0,0.0,0.0,0.0
105_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,1.9340000000000008,645.339923,7.861429,1.4e-05,1.3e-05,6e-06,2e-06,1e-06,1e-06,0.0,0.0,0.0,0.0
106_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,1.9440000000000008,645.452193,7.860591,3e-05,2.8e-05,1.4e-05,4e-06,2e-06,2e-06,1e-06,1e-06,1e-06,0.0
107_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,1.9540000000000008,643.768936,7.871563,2e-05,1.9e-05,8e-06,2e-06,1e-06,1e-06,1e-06,1e-06,0.0,0.0
108_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,1.9640000000000009,643.647701,7.871551,2.7e-05,2.5e-05,1.2e-05,3e-06,1e-06,1e-06,1e-06,1e-06,0.0,0.0
109_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,1.9740000000000009,641.598949,7.885581,5e-06,5e-06,2e-06,1e-06,0.0,0.0,0.0,0.0,0.0,0.0
110_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,1.9840000000000009,639.742306,7.897779,3e-06,3e-06,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,1.9940000000000009,638.845707,7.9016,5.7e-05,5.3e-05,2.3e-05,6e-06,3e-06,3e-06,2e-06,1e-06,1e-06,0.0
112_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.004000000000001,624.020741,7.86526,1.3e-05,1.3e-05,6e-06,2e-06,1e-06,1e-06,0.0,0.0,0.0,0.0
113_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.0140000000000007,621.668854,7.875589,1.3e-05,1.2e-05,5e-06,1e-06,1e-06,1e-06,0.0,0.0,0.0,0.0
114_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.0240000000000005,594.380841,7.804294,2.3e-05,2.2e-05,1e-05,3e-06,1e-06,1e-06,1e-06,1e-06,0.0,0.0
115_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.0340000000000003,590.740221,7.778865,5e-06,5e-06,2e-06,1e-06,0.0,0.0,0.0,0.0,0.0,0.0
116_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.044,587.66516,7.757397,2e-06,2e-06,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.054,587.605088,7.756982,8e-06,7e-06,4e-06,1e-06,0.0,0.0,0.0,0.0,0.0,0.0
118_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.064,586.047356,7.746069,3.9e-05,3.7e-05,1.7e-05,4e-06,2e-06,2e-06,1e-06,1e-06,1e-06,0.0
119_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.0739999999999994,576.127257,7.676517,5.3e-05,5e-05,2.2e-05,6e-06,3e-06,2e-06,1e-06,1e-06,1e-06,0.0
120_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.083999999999999,570.59089,7.671755,6e-06,6e-06,3e-06,1e-06,0.0,0.0,0.0,0.0,0.0,0.0
121_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.093999999999999,562.472607,7.669567,6e-06,6e-06,3e-06,1e-06,0.0,0.0,0.0,0.0,0.0,0.0
122_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.1039999999999988,552.647201,7.670491,1e-05,9e-06,4e-06,1e-06,1e-06,0.0,0.0,0.0,0.0,0.0
123_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.1139999999999985,542.394361,7.674401,2.7e-05,2.5e-05,1.1e-05,3e-06,1e-06,1e-06,1e-06,1e-06,0.0,0.0
124_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.1239999999999983,540.850444,7.673369,2.3e-05,2.2e-05,1e-05,3e-06,1e-06,1e-06,1e-06,1e-06,0.0,0.0
125_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.133999999999998,531.58753,7.673359,2.3e-05,2.1e-05,1e-05,3e-06,1e-06,1e-06,1e-06,1e-06,0.0,0.0
126_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.143999999999998,531.441855,7.672588,8e-06,7e-06,3e-06,1e-06,0.0,0.0,0.0,0.0,0.0,0.0
127_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.1539999999999977,529.617511,7.671843,0.000409,0.000382,0.000174,4.6e-05,2.4e-05,1.7e-05,1.2e-05,1e-05,7e-06,0.0
128_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.163999999999997,528.45411,7.676423,4.9e-05,4.5e-05,2.2e-05,6e-06,3e-06,2e-06,2e-06,1e-06,1e-06,0.0
129_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.1739999999999973,528.287552,7.668583,0.00053,0.000503,0.00023,6e-05,3e-05,2e-05,1.5e-05,1.3e-05,9e-06,0.0
130_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.183999999999997,527.391183,7.681301,5.2e-05,4.7e-05,2.3e-05,6e-06,3e-06,2e-06,2e-06,1e-06,1e-06,0.0
131_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.193999999999997,527.787104,7.669556,0.000498,0.000456,0.000221,6e-05,3.1e-05,1.9e-05,1.5e-05,1.3e-05,1e-05,0.0
132_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.2039999999999966,528.216611,7.668158,0.000566,0.000523,0.000243,6.5e-05,3.2e-05,2.7e-05,1.6e-05,1.4e-05,1e-05,0.0
133_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.2139999999999964,527.285769,7.681287,3.5e-05,3.4e-05,1.5e-05,4e-06,2e-06,2e-06,1e-06,1e-06,1e-06,0.0
134_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.223999999999996,526.417692,7.673628,6.3e-05,5.8e-05,2.6e-05,7e-06,3e-06,3e-06,2e-06,2e-06,1e-06,0.0
135_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.233999999999996,522.594035,7.67298,0.000578,0.00052,0.00026,7e-05,3.5e-05,2.8e-05,1.8e-05,1.6e-05,1.1e-05,0.0
136_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.243999999999996,521.315737,7.669369,9e-06,8e-06,4e-06,1e-06,0.0,0.0,0.0,0.0,0.0,0.0
137_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.253999999999996,521.519237,7.671271,3.4e-05,3e-05,1.5e-05,4e-06,2e-06,1e-06,1e-06,1e-06,1e-06,0.0
138_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.263999999999996,521.292091,7.669864,3.5e-05,3.2e-05,1.5e-05,4e-06,2e-06,1e-06,1e-06,1e-06,1e-06,0.0
139_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.273999999999995,520.83569,7.666566,3.7e-05,3.5e-05,1.6e-05,4e-06,2e-06,2e-06,1e-06,1e-06,1e-06,0.0
140_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.283999999999995,520.019867,7.66045,3.2e-05,3.1e-05,1.3e-05,4e-06,2e-06,1e-06,1e-06,1e-06,1e-06,0.0
141_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.2939999999999947,519.06978,7.654076,3.4e-05,3.3e-05,1.5e-05,4e-06,2e-06,1e-06,1e-06,1e-06,1e-06,0.0
142_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.3039999999999945,519.196352,7.654958,3.2e-05,2.9e-05,1.4e-05,4e-06,2e-06,2e-06,1e-06,1e-06,1e-06,0.0
143_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.3139999999999943,519.12613,7.654405,4.4e-05,4.2e-05,1.9e-05,5e-06,2e-06,2e-06,1e-06,1e-06,1e-06,0.0
144_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.323999999999994,518.389223,7.64923,4e-05,3.7e-05,1.7e-05,5e-06,2e-06,2e-06,1e-06,1e-06,1e-06,0.0
145_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.333999999999994,515.686732,7.63036,9.4e-05,8.7e-05,3.6e-05,1e-05,4e-06,4e-06,2e-06,2e-06,1e-06,0.0
146_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.3439999999999936,515.140428,7.626456,3.5e-05,3.2e-05,1.5e-05,4e-06,2e-06,2e-06,1e-06,1e-06,1e-06,0.0
147_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.353999999999993,515.110133,7.626231,3.1e-05,2.8e-05,1.3e-05,4e-06,2e-06,1e-06,1e-06,1e-06,1e-06,0.0
148_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.363999999999993,515.02307,7.625834,3.7e-05,3.4e-05,1.6e-05,4e-06,2e-06,1e-06,1e-06,1e-06,1e-06,0.0
149_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.373999999999993,514.993659,7.62545,3.5e-05,3.2e-05,1.6e-05,4e-06,2e-06,1e-06,1e-06,1e-06,1e-06,0.0
150_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.383999999999993,515.010712,7.62567,2.7e-05,2.5e-05,1.2e-05,3e-06,2e-06,1e-06,1e-06,1e-06,1e-06,0.0
151_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.3939999999999926,512.684179,7.628044,4.2e-05,4e-05,1.8e-05,5e-06,2e-06,2e-06,1e-06,1e-06,1e-06,0.0
152_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.4039999999999924,512.550756,7.628092,2.9e-05,2.7e-05,1.2e-05,3e-06,2e-06,1e-06,1e-06,1e-06,1e-06,0.0
153_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.413999999999992,508.719725,7.630645,5.2e-05,4.9e-05,2.2e-05,6e-06,3e-06,2e-06,1e-06,1e-06,1e-06,0.0
154_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.423999999999992,508.559968,7.629888,4.4e-05,4e-05,1.8e-05,5e-06,2e-06,2e-06,1e-06,1e-06,1e-06,0.0
155_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.433999999999992,508.550972,7.630031,1.4e-05,1.3e-05,6e-06,1e-06,1e-06,1e-06,0.0,0.0,0.0,0.0
156_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.4439999999999915,508.627074,7.630187,3.6e-05,3.3e-05,1.6e-05,4e-06,2e-06,1e-06,1e-06,1e-06,1e-06,0.0
