folder,techno_modifiee,gwp_constr,f_TS_DHN_SEASONAL,f_DHN_HP_ELEC,f_DHN_BOILER_GAS,f_DHN_BOILER_OIL,f_DHN_BOILER_WOOD,f_DHN_COGEN_WOOD,f_DHN_COGEN_GAS,f_DHN_SOLAR,f_DHN_COGEN_WASTE,f_DHN_COGEN_BIO_HYDROLYSIS,f_DHN_COGEN_WET_BIOMASS,f_DHN_DEEP_GEO
179_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.6739999999999866,454.00012,7.659256,8.1e-05,7.5e-05,3.3e-05,9e-06,4e-06,4e-06,2e-06,2e-06,1e-06,0.0
180_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.6839999999999864,450.005492,7.658218,5e-06,4e-06,2e-06,1e-06,0.0,0.0,0.0,0.0,0.0,0.0
181_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.693999999999986,439.158691,7.665148,9e-06,8e-06,3e-06,1e-06,0.0,0.0,0.0,0.0,0.0,0.0
182_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.703999999999986,439.472162,7.667143,3.9e-05,3.7e-05,1.7e-05,4e-06,2e-06,2e-06,1e-06,1e-06,1e-06,0.0
183_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.7139999999999858,439.453001,7.667249,3.5e-05,3.3e-05,1.5e-05,4e-06,2e-06,1e-06,1e-06,1e-06,1e-06,0.0
184_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.723999999999985,432.84605,7.670892,4.7e-05,4.7e-05,2e-05,5e-06,3e-06,2e-06,1e-06,1e-06,1e-06,0.0
185_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.7339999999999853,429.879181,7.673369,0.000157,0.000149,6.8e-05,1.8e-05,1e-05,7e-06,5e-06,4e-06,3e-06,0.0
186_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.743999999999985,429.462303,7.673475,4.9e-05,4.6e-05,2.1e-05,5e-06,3e-06,2e-06,1e-06,1e-06,1e-06,0.0
187_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.753999999999985,429.386341,7.673514,4e-05,3.8e-05,1.7e-05,5e-06,2e-06,2e-06,1e-06,1e-06,1e-06,0.0
188_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.7639999999999847,429.369579,7.673533,5.4e-05,5.1e-05,2.3e-05,6e-06,3e-06,2e-06,2e-06,1e-06,1e-06,0.0
189_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.7739999999999845,429.37486,7.6736,5.3e-05,5e-05,2.1e-05,6e-06,3e-06,2e-06,1e-06,1e-06,1e-06,0.0
190_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.7839999999999843,429.339445,7.673496,6e-05,5.7e-05,2.4e-05,7e-06,3e-06,3e-06,2e-06,2e-06,1e-06,0.0
191_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.793999999999984,419.973888,7.680667,3.3e-05,3.1e-05,1.5e-05,4e-06,2e-06,1e-06,1e-06,1e-06,1e-06,0.0
192_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.803999999999984,418.898059,7.681521,5e-05,4.6e-05,2e-05,5e-06,2e-06,2e-06,1e-06,1e-06,1e-06,0.0
