folder,techno_modifiee,gwp_constr,f_BATT_LI,f_PHS,f_TS_DEC_HP_ELEC,f_TS_HIGH_TEMP,f_CAR_FUEL_CELL,f_CAR_HEV,f_CAR_DIESEL,f_CAR_NG,f_CAR_METHANOL,f_CAR_GASOLINE,f_CAR_PHEV,f_CAR_BEV
11_IS_Techno_PHS_gwp17,PHS,17.130000000000006,,6.499865,,,177.465847,3.503018,5.528649,2.25366,3.044977,2.162493,3.8e-05,1.2e-05
12_IS_Techno_PHS_gwp18,PHS,17.930000000000007,,6.499956,,,179.382138,1.265922,2.998781,0.803339,0.681518,3.442145,1.6e-05,5e-06
13_IS_Techno_PHS_gwp19,PHS,18.730000000000008,,6.499987,,,181.771412,1.248696,4.585316,3.346974,0.583367,4.553757,5e-06,2e-06
14_IS_Techno_PHS_gwp20,PHS,19.53000000000001,,6.499973,,,177.004242,5.801099,2.733035,4.359929,1.07415,3.661825,1.8e-05,6e-06
15_IS_Techno_PHS_gwp20,PHS,20.33000000000001,,6.499949,,,177.049959,1.677248,1.24131,5.714393,1.145359,1.505842,1.7e-05,6e-06
16_IS_Techno_PHS_gwp21,PHS,21.13000000000001,,6.499902,,,176.988096,6.505105,3.409103,3.440571,4.371273,2.542222,2.5e-05,8e-06
17_IS_Techno_PHS_gwp22,PHS,21.93000000000001,,6.499986,,,177.553965,1.384559,1.778258,0.962272,1.406118,0.868996,3.3e-05,1e-05
18_IS_Techno_PHS_gwp23,PHS,22.73000000000001,,6.499956,,,177.502639,4.449192,7.244898,1.35832,3.003822,1.472097,1.2e-05,4e-06
19_IS_Techno_PHS_gwp24,PHS,23.53000000000001,,6.499945,,,179.912998,1.244329,1.493272,8.014208,1.021665,1.323931,1.5e-05,5e-06
20_IS_Techno_PHS_gwp24,PHS,24.330000000000013,,6.499938,,,177.015271,2.210062,1.992857,7.072049,2.593393,2.702019,9.5e-05,3.4e-05
21_IS_Techno_PHS_gwp25,PHS,25.130000000000013,,6.499939,,,176.989286,3.113317,1.310058,1.088863,1.048765,1.184049,3.9e-05,1.4e-05
22_IS_Techno_PHS_gwp26,PHS,25.93000000000001,,6.499745,,,183.859946,1.560167,1.710838,7.595093,2.978354,2.576731,7.9e-05,2.8e-05
23_IS_Techno_PHS_gwp27,PHS,26.73000000000001,,6.499937,,,177.014729,2.499592,1.835769,10.093944,4.589336,1.572455,2.7e-05,1e-05
24_IS_Techno_PHS_gwp28,PHS,27.530000000000012,,6.499924,,,179.192918,4.172966,2.723578,1.018676,1.696399,0.559025,2.6e-05,9e-06
25_IS_Techno_PHS_gwp28,PHS,28.330000000000016,,6.499693,,,185.793358,7.879119,3.413577,6.860184,1.633494,0.723474,7.2e-05,2.6e-05
26_IS_Techno_PHS_gwp29,PHS,29.130000000000017,,6.499815,,,187.173537,3.530908,3.361495,7.897103,0.855068,3.227395,2.4e-05,7e-06
