Scenario,TechnoModifiee,GWP,Technology,Capacity
Techno_BATT_LI_gwp21,BATT_LI,21.0,TS_DHN_DAILY,0.001024
Techno_BATT_LI_gwp21,BATT_LI,21.0,TS_DHN_SEASONAL,805.815389
Techno_BATT_LI_gwp21,BATT_LI,21.0,TS_HIGH_TEMP,70.205416
Techno_BATT_LI_gwp21,BATT_LI,21.0,GAS_STORAGE,0.012387
Techno_BATT_LI_gwp21,BATT_LI,21.0,H2_STORAGE,0.002396
Techno_BATT_LI_gwp21,BATT_LI,21.0,DIESEL_STORAGE,3.222941
Techno_BATT_LI_gwp21,BATT_LI,21.0,GASOLINE_STORAGE,3.237105
Techno_BATT_LI_gwp21,BATT_LI,21.0,LFO_STORAGE,3.302725
Techno_BATT_LI_gwp21,BATT_LI,21.0,AMMONIA_STORAGE,3.250556
Techno_BATT_LI_gwp21,BATT_LI,21.0,METHANOL_STORAGE,3.244338
Techno_BATT_LI_gwp26,BATT_LI,26.0,BATT_LI,59.89814
Techno_BATT_LI_gwp26,BATT_LI,26.0,BEV_BATT,3e-06
Techno_BATT_LI_gwp26,BATT_LI,26.0,PHEV_BATT,2e-06
Techno_BATT_LI_gwp26,BATT_LI,26.0,PHS,6.499962
Techno_BATT_LI_gwp26,BATT_LI,26.0,TS_DEC_DIRECT_ELEC,3.9e-05
Techno_BATT_LI_gwp26,BATT_LI,26.0,TS_DEC_HP_ELEC,53.81073
Techno_BATT_LI_gwp26,BATT_LI,26.0,TS_DEC_THHP_GAS,3.9e-05
Techno_BATT_LI_gwp26,BATT_LI,26.0,TS_DEC_COGEN_GAS,3.9e-05
Techno_BATT_LI_gwp26,BATT_LI,26.0,TS_DEC_COGEN_OIL,3.9e-05
Techno_BATT_LI_gwp26,BATT_LI,26.0,TS_DEC_ADVCOGEN_GAS,3.9e-05
Techno_BATT_LI_gwp26,BATT_LI,26.0,TS_DEC_ADVCOGEN_H2,3.9e-05
Techno_BATT_LI_gwp26,BATT_LI,26.0,TS_DEC_BOILER_GAS,3.9e-05
Techno_BATT_LI_gwp26,BATT_LI,26.0,TS_DEC_BOILER_WOOD,3.9e-05
Techno_BATT_LI_gwp26,BATT_LI,26.0,TS_DEC_BOILER_OIL,3.9e-05
Techno_BATT_LI_gwp26,BATT_LI,26.0,TS_DHN_DAILY,0.000114
Techno_BATT_LI_gwp26,BATT_LI,26.0,TS_DHN_SEASONAL,811.738538
Techno_BATT_LI_gwp26,BATT_LI,26.0,TS_HIGH_TEMP,70.078498
Techno_BATT_LI_gwp26,BATT_LI,26.0,GAS_STORAGE,0.001742
Techno_BATT_LI_gwp26,BATT_LI,26.0,H2_STORAGE,0.000319
Techno_BATT_LI_gwp26,BATT_LI,26.0,DIESEL_STORAGE,0.544164
Techno_BATT_LI_gwp26,BATT_LI,26.0,GASOLINE_STORAGE,0.544419
Techno_BATT_LI_gwp26,BATT_LI,26.0,LFO_STORAGE,0.544603
Techno_BATT_LI_gwp26,BATT_LI,26.0,AMMONIA_STORAGE,0.544291
Techno_BATT_LI_gwp26,BATT_LI,26.0,METHANOL_STORAGE,0.544146
Techno_BATT_LI_gwp31,BATT_LI,31.0,BATT_LI,58.823935
Techno_BATT_LI_gwp31,BATT_LI,31.0,BEV_BATT,2.4e-05
Techno_BATT_LI_gwp31,BATT_LI,31.0,PHEV_BATT,1.5e-05
Techno_BATT_LI_gwp31,BATT_LI,31.0,PHS,6.498155
Techno_BATT_LI_gwp31,BATT_LI,31.0,TS_DEC_DIRECT_ELEC,0.000294
Techno_BATT_LI_gwp31,BATT_LI,31.0,TS_DEC_HP_ELEC,53.810737
Techno_BATT_LI_gwp31,BATT_LI,31.0,TS_DEC_THHP_GAS,0.000294
Techno_BATT_LI_gwp31,BATT_LI,31.0,TS_DEC_COGEN_GAS,0.000294
Techno_BATT_LI_gwp31,BATT_LI,31.0,TS_DEC_COGEN_OIL,0.000293
Techno_BATT_LI_gwp31,BATT_LI,31.0,TS_DEC_ADVCOGEN_GAS,0.000292
Techno_BATT_LI_gwp31,BATT_LI,31.0,TS_DEC_ADVCOGEN_H2,0.000293
Techno_BATT_LI_gwp31,BATT_LI,31.0,TS_DEC_BOILER_GAS,0.000294
Techno_BATT_LI_gwp31,BATT_LI,31.0,TS_DEC_BOILER_WOOD,0.000294
Techno_BATT_LI_gwp31,BATT_LI,31.0,TS_DEC_BOILER_OIL,0.000294
Techno_BATT_LI_gwp31,BATT_LI,31.0,TS_DHN_DAILY,0.001277
Techno_BATT_LI_gwp31,BATT_LI,31.0,TS_DHN_SEASONAL,819.193901
Techno_BATT_LI_gwp31,BATT_LI,31.0,TS_HIGH_TEMP,70.072599
Techno_BATT_LI_gwp31,BATT_LI,31.0,GAS_STORAGE,0.009977
Techno_BATT_LI_gwp31,BATT_LI,31.0,H2_STORAGE,0.001892
Techno_BATT_LI_gwp31,BATT_LI,31.0,DIESEL_STORAGE,2.954995
Techno_BATT_LI_gwp31,BATT_LI,31.0,GASOLINE_STORAGE,2.992461
Techno_BATT_LI_gwp31,BATT_LI,31.0,LFO_STORAGE,2.911068
Techno_BATT_LI_gwp31,BATT_LI,31.0,AMMONIA_STORAGE,2.923489
Techno_BATT_LI_gwp31,BATT_LI,31.0,METHANOL_STORAGE,2.938214
Techno_BATT_LI_gwp36,BATT_LI,36.0,BATT_LI,57.281272
Techno_BATT_LI_gwp36,BATT_LI,36.0,BEV_BATT,1.9e-05
Techno_BATT_LI_gwp36,BATT_LI,36.0,PHEV_BATT,1.1e-05
Techno_BATT_LI_gwp36,BATT_LI,36.0,PHS,6.499857
Techno_BATT_LI_gwp36,BATT_LI,36.0,TS_DEC_DIRECT_ELEC,0.000241
Techno_BATT_LI_gwp36,BATT_LI,36.0,TS_DEC_HP_ELEC,55.069526
Techno_BATT_LI_gwp36,BATT_LI,36.0,TS_DEC_THHP_GAS,0.000241
Techno_BATT_LI_gwp36,BATT_LI,36.0,TS_DEC_COGEN_GAS,0.000241
Techno_BATT_LI_gwp36,BATT_LI,36.0,TS_DEC_COGEN_OIL,0.000241
Techno_BATT_LI_gwp36,BATT_LI,36.0,TS_DEC_ADVCOGEN_GAS,0.000239
Techno_BATT_LI_gwp36,BATT_LI,36.0,TS_DEC_ADVCOGEN_H2,0.00024
Techno_BATT_LI_gwp36,BATT_LI,36.0,TS_DEC_BOILER_GAS,0.000241
Techno_BATT_LI_gwp36,BATT_LI,36.0,TS_DEC_BOILER_WOOD,0.000241
Techno_BATT_LI_gwp36,BATT_LI,36.0,TS_DEC_BOILER_OIL,0.000241
Techno_BATT_LI_gwp36,BATT_LI,36.0,TS_DHN_DAILY,0.000756
Techno_BATT_LI_gwp36,BATT_LI,36.0,TS_DHN_SEASONAL,836.694812
Techno_BATT_LI_gwp36,BATT_LI,36.0,TS_HIGH_TEMP,70.153093
Techno_BATT_LI_gwp36,BATT_LI,36.0,GAS_STORAGE,0.007943
Techno_BATT_LI_gwp36,BATT_LI,36.0,H2_STORAGE,0.001539
Techno_BATT_LI_gwp36,BATT_LI,36.0,DIESEL_STORAGE,2.127554
Techno_BATT_LI_gwp36,BATT_LI,36.0,GASOLINE_STORAGE,2.138014
Techno_BATT_LI_gwp36,BATT_LI,36.0,LFO_STORAGE,2.15132
Techno_BATT_LI_gwp36,BATT_LI,36.0,AMMONIA_STORAGE,2.136342
Techno_BATT_LI_gwp36,BATT_LI,36.0,METHANOL_STORAGE,2.133874
Techno_BATT_LI_gwp41,BATT_LI,41.0,BATT_LI,53.553894
Techno_BATT_LI_gwp41,BATT_LI,41.0,BEV_BATT,1e-06
Techno_BATT_LI_gwp41,BATT_LI,41.0,PHEV_BATT,1e-06
Techno_BATT_LI_gwp41,BATT_LI,41.0,PHS,6.499967
Techno_BATT_LI_gwp41,BATT_LI,41.0,TS_DEC_DIRECT_ELEC,1.6e-05
Techno_BATT_LI_gwp41,BATT_LI,41.0,TS_DEC_HP_ELEC,59.86236
Techno_BATT_LI_gwp41,BATT_LI,41.0,TS_DEC_THHP_GAS,1.6e-05
Techno_BATT_LI_gwp41,BATT_LI,41.0,TS_DEC_COGEN_GAS,1.6e-05
Techno_BATT_LI_gwp41,BATT_LI,41.0,TS_DEC_COGEN_OIL,1.6e-05
Techno_BATT_LI_gwp41,BATT_LI,41.0,TS_DEC_ADVCOGEN_GAS,1.6e-05
Techno_BATT_LI_gwp41,BATT_LI,41.0,TS_DEC_ADVCOGEN_H2,1.6e-05
Techno_BATT_LI_gwp41,BATT_LI,41.0,TS_DEC_BOILER_GAS,1.6e-05
Techno_BATT_LI_gwp41,BATT_LI,41.0,TS_DEC_BOILER_WOOD,1.6e-05
Techno_BATT_LI_gwp41,BATT_LI,41.0,TS_DEC_BOILER_OIL,1.6e-05
Techno_BATT_LI_gwp41,BATT_LI,41.0,TS_DHN_DAILY,4.5e-05
Techno_BATT_LI_gwp41,BATT_LI,41.0,TS_DHN_SEASONAL,857.05733
Techno_BATT_LI_gwp41,BATT_LI,41.0,TS_HIGH_TEMP,70.666674
Techno_BATT_LI_gwp41,BATT_LI,41.0,GAS_STORAGE,0.000582
Techno_BATT_LI_gwp41,BATT_LI,41.0,H2_STORAGE,0.00012
Techno_BATT_LI_gwp41,BATT_LI,41.0,DIESEL_STORAGE,0.189381
Techno_BATT_LI_gwp41,BATT_LI,41.0,GASOLINE_STORAGE,0.190012
Techno_BATT_LI_gwp41,BATT_LI,41.0,LFO_STORAGE,0.188352
Techno_BATT_LI_gwp41,BATT_LI,41.0,AMMONIA_STORAGE,0.188583
Techno_BATT_LI_gwp41,BATT_LI,41.0,METHANOL_STORAGE,0.188759
Techno_BATT_LI_gwp46,BATT_LI,46.0,BATT_LI,50.875223
Techno_BATT_LI_gwp46,BATT_LI,46.0,BEV_BATT,1.1e-05
Techno_BATT_LI_gwp46,BATT_LI,46.0,PHEV_BATT,8e-06
Techno_BATT_LI_gwp46,BATT_LI,46.0,PHS,6.499683
Techno_BATT_LI_gwp46,BATT_LI,46.0,TS_DEC_DIRECT_ELEC,0.000174
Techno_BATT_LI_gwp46,BATT_LI,46.0,TS_DEC_HP_ELEC,61.68365
Techno_BATT_LI_gwp46,BATT_LI,46.0,TS_DEC_THHP_GAS,0.000174
Techno_BATT_LI_gwp46,BATT_LI,46.0,TS_DEC_COGEN_GAS,0.000173
